label,in_greenhouse,temp_min,temp_max,humidity_min,humidity_max,co2_min,co2_max,soil_moisture_min,soil_moisture_max,soil_moisture_mean,ph_min,ph_max,N_mean,P_mean,K_mean,rainfall_mm,soil_source,co2_source
apple,False,21.0365275,23.99686172,90.02575116,94.92048112,400,450,17.9,36.0,27.0,5.514253142,6.4992268210000015,20.8,134.22,199.89,112.654779275,DS2_global_fallback,ambient_standard
apple,True,23.0365275,26.99686172,90.02575116,94.92048112,424,1386,17.9,36.0,27.0,5.514253142,6.4992268210000015,20.8,134.22,199.89,112.654779275,DS2_global_fallback,DS3_sensor_baseline
banana,False,25.01018457,29.90888522,75.03193255,84.97849241,400,450,17.9,36.0,27.0,5.505393832999999,6.490074429,100.23,82.01,50.05,104.6269804001,DS2_global_fallback,ambient_standard
banana,True,27.01018457,32.90888522,75.03193255,84.97849241,424,1386,17.9,36.0,27.0,5.505393832999999,6.490074429,100.23,82.01,50.05,104.6269804001,DS2_global_fallback,DS3_sensor_baseline
blackgram,False,25.09737391,34.9466155,60.06534859,69.96100028,400,450,17.9,36.0,27.0,6.500144962,7.775306272000001,40.02,67.47,19.24,67.8841511832,DS2_global_fallback,ambient_standard
blackgram,True,27.09737391,37.9466155,60.06534859,69.96100028,424,1386,17.9,36.0,27.0,6.500144962,7.775306272000001,40.02,67.47,19.24,67.8841511832,DS2_global_fallback,DS3_sensor_baseline
chickpea,False,17.02498456,20.99502153,14.25803981,19.96978871,400,450,17.9,36.0,27.0,5.988992796000002,8.868741443,40.09,67.79,79.92,80.0589772605,DS2_global_fallback,ambient_standard
chickpea,True,19.02498456,23.99502153,14.25803981,19.96978871,424,1386,17.9,36.0,27.0,5.988992796000002,8.868741443,40.09,67.79,79.92,80.0589772605,DS2_global_fallback,DS3_sensor_baseline
coconut,False,25.00872392,29.8690834,90.01734526,99.98187601,400,450,17.9,36.0,27.0,5.50158009,6.470465614,21.98,16.93,30.59,175.686645804,DS2_global_fallback,ambient_standard
coconut,True,27.00872392,32.8690834,90.01734526,99.98187601,424,1386,17.9,36.0,27.0,5.50158009,6.470465614,21.98,16.93,30.59,175.686645804,DS2_global_fallback,DS3_sensor_baseline
coffee,False,23.05951896,27.92374437,50.04557009,69.94807345,400,450,17.9,36.0,27.0,6.020947179,7.493191968,101.2,28.74,29.94,158.066294882,DS2_global_fallback,ambient_standard
coffee,True,25.05951896,30.92374437,50.04557009,69.94807345,424,1386,17.9,36.0,27.0,6.020947179,7.493191968,101.2,28.74,29.94,158.066294882,DS2_global_fallback,DS3_sensor_baseline
cotton,False,22.00085141,25.99237426,75.00539324,84.87668973,400,450,10.16,44.18,26.533271028037383,5.801047545,7.994679507000001,117.77,46.24,19.56,80.3980431193,DS2_per_crop,ambient_standard
cotton,True,24.00085141,28.99237426,75.00539324,84.87668973,424,1386,10.16,44.18,26.533271028037383,5.801047545,7.994679507000001,117.77,46.24,19.56,80.3980431193,DS2_per_crop,DS3_sensor_baseline
grapes,False,8.825674745,41.94865736,80.01639435,83.98351748,400,450,17.9,36.0,27.0,5.510924848999999,6.499604931,23.18,132.53,200.11,69.611828886,DS2_global_fallback,ambient_standard
grapes,True,10.825674745,44.94865736,80.01639435,83.98351748,424,1386,17.9,36.0,27.0,5.510924848999999,6.499604931,23.18,132.53,200.11,69.611828886,DS2_global_fallback,DS3_sensor_baseline
jute,False,23.09433785,26.98582182,70.88259632,89.89106506,400,450,17.9,36.0,27.0,6.002524871,7.4880144039999985,78.4,46.86,39.99,174.792797536,DS2_global_fallback,ambient_standard
jute,True,25.09433785,29.98582182,70.88259632,89.89106506,424,1386,17.9,36.0,27.0,6.002524871,7.4880144039999985,78.4,46.86,39.99,174.792797536,DS2_global_fallback,DS3_sensor_baseline
kidneybeans,False,15.33042636,24.92360104,18.09224048,24.96969858,400,450,17.9,36.0,27.0,5.502999119,5.99812453,20.75,67.54,20.05,105.91977754210001,DS2_global_fallback,ambient_standard
kidneybeans,True,17.33042636,27.92360104,18.09224048,24.96969858,424,1386,17.9,36.0,27.0,5.502999119,5.99812453,20.75,67.54,20.05,105.91977754210001,DS2_global_fallback,DS3_sensor_baseline
lentil,False,18.06486101,29.94413861,60.09116626,69.92375891,400,450,17.9,36.0,27.0,5.91645379,7.841496029,18.77,68.36,19.41,45.680454204,DS2_global_fallback,ambient_standard
